Filename,Date,Hour,Foraging,n
Potomac 2017 06 02 POD2969 file01.CP3,6/2/2017,11,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP4,6/3/2017,7,FALSE,2
Potomac 2017 06 02 POD2969 file01.CP5,6/3/2017,8,FALSE,4
Potomac 2017 06 02 POD2969 file01.CP6,6/3/2017,10,FALSE,2
Potomac 2017 06 02 POD2969 file01.CP7,6/3/2017,11,FALSE,2
Potomac 2017 06 02 POD2969 file01.CP8,6/3/2017,12,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP9,6/3/2017,22,FALSE,2
Potomac 2017 06 02 POD2969 file01.CP10,6/3/2017,22,TRUE,1
Potomac 2017 06 02 POD2969 file01.CP11,6/4/2017,2,FALSE,17
Potomac 2017 06 02 POD2969 file01.CP12,6/4/2017,2,TRUE,13
Potomac 2017 06 02 POD2969 file01.CP13,6/4/2017,4,FALSE,7
Potomac 2017 06 02 POD2969 file01.CP14,6/4/2017,4,TRUE,10
Potomac 2017 06 02 POD2969 file01.CP15,6/4/2017,9,FALSE,2
Potomac 2017 06 02 POD2969 file01.CP16,6/4/2017,9,TRUE,5
Potomac 2017 06 02 POD2969 file01.CP17,6/4/2017,10,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP18,6/4/2017,17,FALSE,17
Potomac 2017 06 02 POD2969 file01.CP19,6/4/2017,17,TRUE,11
Potomac 2017 06 02 POD2969 file01.CP20,6/4/2017,18,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP21,6/4/2017,18,TRUE,1
Potomac 2017 06 02 POD2969 file01.CP22,6/4/2017,22,FALSE,7
Potomac 2017 06 02 POD2969 file01.CP23,6/4/2017,22,TRUE,18
Potomac 2017 06 02 POD2969 file01.CP24,6/4/2017,23,FALSE,18
Potomac 2017 06 02 POD2969 file01.CP25,6/4/2017,23,TRUE,24
Potomac 2017 06 02 POD2969 file01.CP26,6/5/2017,1,FALSE,4
Potomac 2017 06 02 POD2969 file01.CP27,6/5/2017,1,TRUE,4
Potomac 2017 06 02 POD2969 file01.CP28,6/5/2017,2,FALSE,8
Potomac 2017 06 02 POD2969 file01.CP29,6/5/2017,2,TRUE,8
Potomac 2017 06 02 POD2969 file01.CP30,6/5/2017,3,FALSE,10
Potomac 2017 06 02 POD2969 file01.CP31,6/5/2017,3,TRUE,7
Potomac 2017 06 02 POD2969 file01.CP32,6/5/2017,12,FALSE,13
Potomac 2017 06 02 POD2969 file01.CP33,6/5/2017,12,TRUE,2
Potomac 2017 06 02 POD2969 file01.CP34,6/5/2017,13,TRUE,2
Potomac 2017 06 02 POD2969 file01.CP35,6/5/2017,20,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP36,6/5/2017,20,TRUE,1
Potomac 2017 06 02 POD2969 file01.CP37,6/6/2017,4,FALSE,7
Potomac 2017 06 02 POD2969 file01.CP38,6/6/2017,4,TRUE,14
Potomac 2017 06 02 POD2969 file01.CP39,6/6/2017,5,FALSE,10
Potomac 2017 06 02 POD2969 file01.CP40,6/6/2017,5,TRUE,10
Potomac 2017 06 02 POD2969 file01.CP41,6/6/2017,15,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP42,6/6/2017,15,TRUE,1
Potomac 2017 06 02 POD2969 file01.CP43,6/7/2017,9,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP44,6/7/2017,10,FALSE,2
Potomac 2017 06 02 POD2969 file01.CP45,6/8/2017,5,FALSE,18
Potomac 2017 06 02 POD2969 file01.CP46,6/8/2017,5,TRUE,4
Potomac 2017 06 02 POD2969 file01.CP47,6/8/2017,14,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP48,6/8/2017,14,TRUE,4
Potomac 2017 06 02 POD2969 file01.CP49,6/8/2017,15,FALSE,5
Potomac 2017 06 02 POD2969 file01.CP50,6/8/2017,15,TRUE,4
Potomac 2017 06 02 POD2969 file01.CP51,6/8/2017,23,FALSE,18
Potomac 2017 06 02 POD2969 file01.CP52,6/8/2017,23,TRUE,7
Potomac 2017 06 02 POD2969 file01.CP53,6/9/2017,1,FALSE,26
Potomac 2017 06 02 POD2969 file01.CP54,6/9/2017,1,TRUE,2
Potomac 2017 06 02 POD2969 file01.CP55,6/9/2017,2,FALSE,9
Potomac 2017 06 02 POD2969 file01.CP56,6/9/2017,2,TRUE,3
Potomac 2017 06 02 POD2969 file01.CP57,6/9/2017,4,FALSE,21
Potomac 2017 06 02 POD2969 file01.CP58,6/9/2017,4,TRUE,9
Potomac 2017 06 02 POD2969 file01.CP59,6/9/2017,5,FALSE,17
Potomac 2017 06 02 POD2969 file01.CP60,6/9/2017,5,TRUE,8
Potomac 2017 06 02 POD2969 file01.CP61,6/9/2017,16,FALSE,14
Potomac 2017 06 02 POD2969 file01.CP62,6/9/2017,16,TRUE,11
Potomac 2017 06 02 POD2969 file01.CP63,6/9/2017,17,FALSE,5
Potomac 2017 06 02 POD2969 file01.CP64,6/9/2017,17,TRUE,1
Potomac 2017 06 02 POD2969 file01.CP65,6/9/2017,20,FALSE,23
Potomac 2017 06 02 POD2969 file01.CP66,6/9/2017,20,TRUE,6
Potomac 2017 06 02 POD2969 file01.CP67,6/9/2017,23,FALSE,21
Potomac 2017 06 02 POD2969 file01.CP68,6/9/2017,23,TRUE,23
Potomac 2017 06 02 POD2969 file01.CP69,6/10/2017,0,FALSE,27
Potomac 2017 06 02 POD2969 file01.CP70,6/10/2017,0,TRUE,22
Potomac 2017 06 02 POD2969 file01.CP71,6/10/2017,8,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP72,6/10/2017,8,TRUE,1
Potomac 2017 06 02 POD2969 file01.CP73,6/10/2017,9,FALSE,9
Potomac 2017 06 02 POD2969 file01.CP74,6/10/2017,10,FALSE,20
Potomac 2017 06 02 POD2969 file01.CP75,6/10/2017,10,TRUE,23
Potomac 2017 06 02 POD2969 file01.CP76,6/10/2017,11,FALSE,3
Potomac 2017 06 02 POD2969 file01.CP77,6/11/2017,18,FALSE,19
Potomac 2017 06 02 POD2969 file01.CP78,6/11/2017,18,TRUE,14
Potomac 2017 06 02 POD2969 file01.CP79,6/11/2017,19,FALSE,17
Potomac 2017 06 02 POD2969 file01.CP80,6/11/2017,19,TRUE,24
Potomac 2017 06 02 POD2969 file01.CP81,6/11/2017,20,FALSE,24
Potomac 2017 06 02 POD2969 file01.CP82,6/11/2017,20,TRUE,34
Potomac 2017 06 02 POD2969 file01.CP83,6/11/2017,21,FALSE,26
Potomac 2017 06 02 POD2969 file01.CP84,6/11/2017,21,TRUE,27
Potomac 2017 06 02 POD2969 file01.CP85,6/11/2017,22,FALSE,13
Potomac 2017 06 02 POD2969 file01.CP86,6/11/2017,22,TRUE,1
Potomac 2017 06 02 POD2969 file01.CP87,6/11/2017,23,FALSE,10
Potomac 2017 06 02 POD2969 file01.CP88,6/11/2017,23,TRUE,1
Potomac 2017 06 02 POD2969 file01.CP89,6/12/2017,11,FALSE,16
Potomac 2017 06 02 POD2969 file01.CP90,6/12/2017,11,TRUE,19
Potomac 2017 06 02 POD2969 file01.CP91,6/12/2017,12,TRUE,1
Potomac 2017 06 02 POD2969 file01.CP92,6/12/2017,16,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP93,6/12/2017,17,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP94,6/12/2017,18,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP95,6/12/2017,22,FALSE,21
Potomac 2017 06 02 POD2969 file01.CP96,6/12/2017,22,TRUE,10
Potomac 2017 06 02 POD2969 file01.CP97,6/13/2017,7,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP98,6/13/2017,8,FALSE,3
Potomac 2017 06 02 POD2969 file01.CP99,6/13/2017,8,TRUE,1
Potomac 2017 06 02 POD2969 file01.CP100,6/13/2017,9,FALSE,5
Potomac 2017 06 02 POD2969 file01.CP101,6/13/2017,9,TRUE,2
Potomac 2017 06 02 POD2969 file01.CP102,6/13/2017,10,FALSE,25
Potomac 2017 06 02 POD2969 file01.CP103,6/13/2017,10,TRUE,30
Potomac 2017 06 02 POD2969 file01.CP104,6/13/2017,11,TRUE,1
Potomac 2017 06 02 POD2969 file01.CP105,6/13/2017,19,FALSE,2
Potomac 2017 06 02 POD2969 file01.CP106,6/13/2017,20,FALSE,24
Potomac 2017 06 02 POD2969 file01.CP107,6/13/2017,20,TRUE,28
Potomac 2017 06 02 POD2969 file01.CP108,6/13/2017,21,FALSE,35
Potomac 2017 06 02 POD2969 file01.CP109,6/13/2017,21,TRUE,20
Potomac 2017 06 02 POD2969 file01.CP110,6/13/2017,22,FALSE,24
Potomac 2017 06 02 POD2969 file01.CP111,6/13/2017,22,TRUE,20
Potomac 2017 06 02 POD2969 file01.CP112,6/13/2017,23,FALSE,15
Potomac 2017 06 02 POD2969 file01.CP113,6/13/2017,23,TRUE,41
Potomac 2017 06 02 POD2969 file01.CP114,6/14/2017,0,FALSE,4
Potomac 2017 06 02 POD2969 file01.CP115,6/14/2017,0,TRUE,4
Potomac 2017 06 02 POD2969 file01.CP116,6/14/2017,1,FALSE,1
Potomac 2017 06 02 POD2969 file01.CP117,6/14/2017,4,FALSE,3
Potomac 2017 06 02 POD2969 file01.CP118,6/14/2017,21,FALSE,3
Potomac 2017 06 02 POD2969 file01.CP119,6/14/2017,22,FALSE,13
Potomac 2017 06 02 POD2969 file01.CP120,6/14/2017,22,TRUE,5
Potomac 2017 06 02 POD2969 file01.CP121,6/14/2017,23,FALSE,27
Potomac 2017 06 02 POD2969 file01.CP122,6/14/2017,23,TRUE,7
Potomac 2017 06 02 POD2969 file01.CP123,6/15/2017,0,FALSE,11
Potomac 2017 06 02 POD2969 file01.CP124,6/15/2017,0,TRUE,1
Potomac 2017 06 02 POD2969 file01.CP125,6/15/2017,1,FALSE,13
Potomac 2017 06 02 POD2969 file01.CP126,6/15/2017,1,TRUE,7
Potomac 2017 06 02 POD2969 file01.CP127,6/15/2017,2,FALSE,8
