Filename,Date,Hour,Foraging,n
Potomac 2017 01 2017 05 10 POD2969 file01.CP3,5/19/2017,9,FALSE,3
Potomac 2017 01 2017 05 10 POD2969 file01.CP4,5/19/2017,10,FALSE,12
Potomac 2017 01 2017 05 10 POD2969 file01.CP5,5/19/2017,10,TRUE,9
Potomac 2017 01 2017 05 10 POD2969 file01.CP6,5/20/2017,4,FALSE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP7,5/21/2017,0,FALSE,6
Potomac 2017 01 2017 05 10 POD2969 file01.CP8,5/21/2017,6,FALSE,5
Potomac 2017 01 2017 05 10 POD2969 file01.CP9,5/21/2017,6,TRUE,3
Potomac 2017 01 2017 05 10 POD2969 file01.CP10,5/21/2017,7,FALSE,5
Potomac 2017 01 2017 05 10 POD2969 file01.CP11,5/21/2017,13,FALSE,2
Potomac 2017 01 2017 05 10 POD2969 file01.CP12,5/21/2017,13,TRUE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP13,5/22/2017,4,FALSE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP14,5/22/2017,5,FALSE,8
Potomac 2017 01 2017 05 10 POD2969 file01.CP15,5/22/2017,5,TRUE,8
Potomac 2017 01 2017 05 10 POD2969 file01.CP16,5/22/2017,16,FALSE,7
Potomac 2017 01 2017 05 10 POD2969 file01.CP17,5/23/2017,0,TRUE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP18,5/23/2017,3,FALSE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP19,5/23/2017,7,FALSE,3
Potomac 2017 01 2017 05 10 POD2969 file01.CP20,5/24/2017,0,FALSE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP21,5/24/2017,13,FALSE,9
Potomac 2017 01 2017 05 10 POD2969 file01.CP22,5/24/2017,13,TRUE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP23,5/24/2017,14,FALSE,4
Potomac 2017 01 2017 05 10 POD2969 file01.CP24,5/25/2017,9,FALSE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP25,5/25/2017,9,TRUE,1
Potomac 2017 01 2017 05 10 POD2969 file01.CP26,5/25/2017,11,TRUE,2
Potomac 2017 01 2017 05 10 POD2969 file01.CP27,5/25/2017,17,FALSE,10
Potomac 2017 01 2017 05 10 POD2969 file01.CP28,5/25/2017,17,TRUE,2
