Filename,Date,Hour,Foraging,n
Potomac 2018 06 08 POD2807 file01.CP3,6/9/2018,5,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP4,6/9/2018,23,TRUE,10
Potomac 2018 06 08 POD2807 file01.CP5,6/10/2018,0,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP6,6/10/2018,1,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP7,6/10/2018,2,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP8,6/10/2018,10,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP9,6/10/2018,11,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP10,6/10/2018,14,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP11,6/10/2018,15,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP12,6/10/2018,17,TRUE,10
Potomac 2018 06 08 POD2807 file01.CP13,6/10/2018,23,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP14,6/11/2018,0,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP15,6/11/2018,16,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP16,6/12/2018,20,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP17,6/13/2018,4,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP18,6/13/2018,6,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP19,6/13/2018,9,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP20,6/13/2018,10,TRUE,11
Potomac 2018 06 08 POD2807 file01.CP21,6/13/2018,11,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP22,6/13/2018,14,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP23,6/13/2018,16,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP24,6/13/2018,19,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP25,6/13/2018,20,TRUE,28
Potomac 2018 06 08 POD2807 file01.CP26,6/13/2018,21,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP27,6/13/2018,22,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP28,6/13/2018,23,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP29,6/14/2018,13,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP30,6/14/2018,21,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP31,6/15/2018,6,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP32,6/15/2018,13,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP33,6/16/2018,0,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP34,6/16/2018,2,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP35,6/16/2018,3,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP36,6/16/2018,6,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP37,6/17/2018,10,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP38,6/17/2018,17,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP39,6/17/2018,22,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP40,6/18/2018,15,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP41,6/18/2018,17,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP42,6/18/2018,18,TRUE,25
Potomac 2018 06 08 POD2807 file01.CP43,6/19/2018,0,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP44,6/19/2018,1,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP45,6/19/2018,5,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP46,6/19/2018,6,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP47,6/19/2018,8,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP48,6/20/2018,1,TRUE,10
Potomac 2018 06 08 POD2807 file01.CP49,6/20/2018,2,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP50,6/20/2018,7,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP51,6/20/2018,19,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP52,6/20/2018,22,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP53,6/21/2018,2,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP54,6/21/2018,11,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP55,6/22/2018,10,TRUE,10
Potomac 2018 06 08 POD2807 file01.CP56,6/23/2018,1,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP57,6/23/2018,4,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP58,6/23/2018,5,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP59,6/23/2018,7,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP60,6/23/2018,12,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP61,6/23/2018,17,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP62,6/23/2018,21,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP63,6/23/2018,22,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP64,6/24/2018,1,TRUE,13
Potomac 2018 06 08 POD2807 file01.CP65,6/24/2018,4,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP66,6/24/2018,5,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP67,6/24/2018,12,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP68,6/24/2018,19,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP69,6/25/2018,4,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP70,6/25/2018,23,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP71,6/26/2018,0,TRUE,22
Potomac 2018 06 08 POD2807 file01.CP72,6/26/2018,1,TRUE,10
Potomac 2018 06 08 POD2807 file01.CP73,6/26/2018,2,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP74,6/26/2018,3,TRUE,15
Potomac 2018 06 08 POD2807 file01.CP75,6/26/2018,4,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP76,6/26/2018,11,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP77,6/27/2018,20,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP78,6/27/2018,22,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP79,6/28/2018,5,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP80,6/28/2018,6,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP81,6/28/2018,7,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP82,6/28/2018,20,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP83,6/29/2018,6,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP84,6/29/2018,7,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP85,6/30/2018,23,TRUE,17
Potomac 2018 06 08 POD2807 file01.CP86,7/1/2018,0,TRUE,27
Potomac 2018 06 08 POD2807 file01.CP87,7/1/2018,1,TRUE,31
Potomac 2018 06 08 POD2807 file01.CP88,7/1/2018,2,TRUE,19
Potomac 2018 06 08 POD2807 file01.CP89,7/1/2018,3,TRUE,31
Potomac 2018 06 08 POD2807 file01.CP90,7/1/2018,4,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP91,7/1/2018,7,TRUE,22
Potomac 2018 06 08 POD2807 file01.CP92,7/1/2018,8,TRUE,25
Potomac 2018 06 08 POD2807 file01.CP93,7/1/2018,9,TRUE,28
Potomac 2018 06 08 POD2807 file01.CP94,7/1/2018,10,TRUE,19
Potomac 2018 06 08 POD2807 file01.CP95,7/1/2018,11,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP96,7/1/2018,12,TRUE,19
Potomac 2018 06 08 POD2807 file01.CP97,7/1/2018,13,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP98,7/1/2018,14,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP99,7/1/2018,15,TRUE,37
Potomac 2018 06 08 POD2807 file01.CP100,7/1/2018,16,TRUE,38
Potomac 2018 06 08 POD2807 file01.CP101,7/1/2018,17,TRUE,14
Potomac 2018 06 08 POD2807 file01.CP102,7/1/2018,19,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP103,7/1/2018,20,TRUE,18
Potomac 2018 06 08 POD2807 file01.CP104,7/1/2018,21,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP105,7/1/2018,22,TRUE,12
Potomac 2018 06 08 POD2807 file01.CP106,7/1/2018,23,TRUE,12
Potomac 2018 06 08 POD2807 file01.CP107,7/2/2018,0,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP108,7/2/2018,2,TRUE,16
Potomac 2018 06 08 POD2807 file01.CP109,7/2/2018,3,TRUE,8
Potomac 2018 06 08 POD2807 file01.CP110,7/2/2018,8,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP111,7/2/2018,23,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP112,7/3/2018,0,TRUE,26
Potomac 2018 06 08 POD2807 file01.CP113,7/3/2018,1,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP114,7/3/2018,5,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP115,7/3/2018,6,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP116,7/3/2018,7,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP117,7/3/2018,16,TRUE,9
Potomac 2018 06 08 POD2807 file01.CP118,7/3/2018,17,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP119,7/3/2018,21,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP120,7/3/2018,22,TRUE,6
Potomac 2018 06 08 POD2807 file01.CP121,7/4/2018,2,TRUE,11
Potomac 2018 06 08 POD2807 file01.CP122,7/4/2018,3,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP123,7/4/2018,4,TRUE,10
Potomac 2018 06 08 POD2807 file01.CP124,7/4/2018,5,TRUE,7
Potomac 2018 06 08 POD2807 file01.CP125,7/4/2018,12,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP126,7/5/2018,0,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP127,7/5/2018,6,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP128,7/5/2018,21,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP129,7/6/2018,0,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP130,7/6/2018,12,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP131,7/6/2018,16,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP132,7/7/2018,14,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP133,7/8/2018,10,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP134,7/8/2018,11,TRUE,13
Potomac 2018 06 08 POD2807 file01.CP135,7/8/2018,13,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP136,7/8/2018,14,TRUE,5
Potomac 2018 06 08 POD2807 file01.CP137,7/8/2018,17,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP138,7/9/2018,1,TRUE,3
Potomac 2018 06 08 POD2807 file01.CP139,7/9/2018,2,TRUE,2
Potomac 2018 06 08 POD2807 file01.CP140,7/9/2018,12,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP141,7/9/2018,13,TRUE,1
Potomac 2018 06 08 POD2807 file01.CP142,7/9/2018,16,TRUE,4
Potomac 2018 06 08 POD2807 file01.CP143,7/9/2018,20,TRUE,16
Potomac 2018 06 08 POD2807 file01.CP144,7/9/2018,21,TRUE,4
