Filename,Date,Hour,Foraging,n
Potomac 2019 10 14 POD2807 file01.CP3,10/23/2019,4,FALSE,2
Potomac 2019 10 14 POD2807 file01.CP4,10/23/2019,4,TRUE,1
Potomac 2019 10 14 POD2807 file01.CP5,10/24/2019,4,FALSE,6
Potomac 2019 10 14 POD2807 file01.CP6,10/24/2019,4,TRUE,9
Potomac 2019 10 14 POD2807 file01.CP7,10/27/2019,7,FALSE,3
Potomac 2019 10 14 POD2807 file01.CP8,10/28/2019,8,FALSE,1
Potomac 2019 10 14 POD2807 file01.CP9,10/29/2019,4,FALSE,1
Potomac 2019 10 14 POD2807 file01.CP10,10/31/2019,1,FALSE,8
Potomac 2019 10 14 POD2807 file01.CP11,10/31/2019,1,TRUE,2
Potomac 2019 10 14 POD2807 file01.CP12,10/31/2019,2,FALSE,11
Potomac 2019 10 14 POD2807 file01.CP13,10/31/2019,2,TRUE,4
Potomac 2019 10 14 POD2807 file01.CP14,10/31/2019,7,FALSE,9
Potomac 2019 10 14 POD2807 file01.CP15,10/31/2019,13,FALSE,6
Potomac 2019 10 14 POD2807 file01.CP16,11/2/2019,1,FALSE,1
Potomac 2019 10 14 POD2807 file01.CP17,11/2/2019,2,FALSE,3
Potomac 2019 10 14 POD2807 file01.CP18,11/2/2019,20,FALSE,4
Potomac 2019 10 14 POD2807 file01.CP19,11/2/2019,20,TRUE,5
Potomac 2019 10 14 POD2807 file01.CP20,11/2/2019,21,FALSE,4
Potomac 2019 10 14 POD2807 file01.CP21,11/2/2019,21,TRUE,4
Potomac 2019 10 14 POD2807 file01.CP22,11/18/2019,7,FALSE,2
