Filename,Date,Hour,Foraging,n
Potomac_2020_05_27_POD2968 file01.CP3,4/18/2020,21,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP4,4/20/2020,2,TRUE,3
Potomac_2020_05_27_POD2968 file01.CP5,4/20/2020,3,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP6,4/20/2020,4,TRUE,13
Potomac_2020_05_27_POD2968 file01.CP7,4/20/2020,5,TRUE,14
Potomac_2020_05_27_POD2968 file01.CP8,4/23/2020,4,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP9,4/28/2020,11,TRUE,3
Potomac_2020_05_27_POD2968 file01.CP10,4/29/2020,7,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP11,5/2/2020,14,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP12,5/2/2020,18,TRUE,7
Potomac_2020_05_27_POD2968 file01.CP13,5/3/2020,9,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP14,5/5/2020,8,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP15,5/11/2020,2,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP16,5/12/2020,22,TRUE,12
Potomac_2020_05_27_POD2968 file01.CP17,5/13/2020,5,TRUE,9
Potomac_2020_05_27_POD2968 file01.CP18,5/17/2020,23,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP19,5/19/2020,6,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP20,5/19/2020,9,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP21,5/22/2020,0,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP22,5/22/2020,1,TRUE,22
Potomac_2020_05_27_POD2968 file01.CP23,5/27/2020,3,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP24,5/29/2020,9,TRUE,3
Potomac_2020_05_27_POD2968 file01.CP25,5/31/2020,15,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP26,5/31/2020,17,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP27,6/1/2020,12,TRUE,13
Potomac_2020_05_27_POD2968 file01.CP28,6/3/2020,3,TRUE,4
Potomac_2020_05_27_POD2968 file01.CP29,6/3/2020,12,TRUE,14
Potomac_2020_05_27_POD2968 file01.CP30,6/3/2020,14,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP31,6/6/2020,2,TRUE,14
Potomac_2020_05_27_POD2968 file01.CP32,6/6/2020,3,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP33,6/7/2020,1,TRUE,45
Potomac_2020_05_27_POD2968 file01.CP34,6/7/2020,2,TRUE,13
Potomac_2020_05_27_POD2968 file01.CP35,6/7/2020,23,TRUE,3
Potomac_2020_05_27_POD2968 file01.CP36,6/8/2020,3,TRUE,4
Potomac_2020_05_27_POD2968 file01.CP37,6/8/2020,9,TRUE,4
Potomac_2020_05_27_POD2968 file01.CP38,6/9/2020,0,TRUE,3
Potomac_2020_05_27_POD2968 file01.CP39,6/9/2020,1,TRUE,12
Potomac_2020_05_27_POD2968 file01.CP40,6/9/2020,4,TRUE,4
Potomac_2020_05_27_POD2968 file01.CP41,6/9/2020,8,TRUE,4
Potomac_2020_05_27_POD2968 file01.CP42,6/10/2020,4,TRUE,24
Potomac_2020_05_27_POD2968 file01.CP43,6/10/2020,5,TRUE,16
Potomac_2020_05_27_POD2968 file01.CP44,6/10/2020,7,TRUE,12
Potomac_2020_05_27_POD2968 file01.CP45,6/10/2020,8,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP46,6/11/2020,4,TRUE,42
Potomac_2020_05_27_POD2968 file01.CP47,6/11/2020,5,TRUE,45
Potomac_2020_05_27_POD2968 file01.CP48,6/11/2020,16,TRUE,22
Potomac_2020_05_27_POD2968 file01.CP49,6/11/2020,17,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP50,6/12/2020,2,TRUE,6
Potomac_2020_05_27_POD2968 file01.CP51,6/12/2020,3,TRUE,10
Potomac_2020_05_27_POD2968 file01.CP52,6/14/2020,19,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP53,6/18/2020,5,TRUE,4
Potomac_2020_05_27_POD2968 file01.CP54,6/18/2020,6,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP55,6/18/2020,22,TRUE,4
Potomac_2020_05_27_POD2968 file01.CP56,6/19/2020,6,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP57,6/19/2020,10,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP58,6/19/2020,15,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP59,6/20/2020,3,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP60,6/20/2020,4,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP61,6/20/2020,5,TRUE,4
Potomac_2020_05_27_POD2968 file01.CP62,6/21/2020,6,TRUE,11
Potomac_2020_05_27_POD2968 file01.CP63,6/21/2020,12,TRUE,7
Potomac_2020_05_27_POD2968 file01.CP64,6/22/2020,6,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP65,6/22/2020,15,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP66,6/22/2020,23,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP67,6/23/2020,0,TRUE,12
Potomac_2020_05_27_POD2968 file01.CP68,6/23/2020,1,TRUE,4
Potomac_2020_05_27_POD2968 file01.CP69,6/23/2020,2,TRUE,18
Potomac_2020_05_27_POD2968 file01.CP70,6/23/2020,3,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP71,6/23/2020,4,TRUE,21
Potomac_2020_05_27_POD2968 file01.CP72,6/23/2020,5,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP73,6/23/2020,8,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP74,6/23/2020,23,TRUE,11
Potomac_2020_05_27_POD2968 file01.CP75,6/24/2020,0,TRUE,21
Potomac_2020_05_27_POD2968 file01.CP76,6/24/2020,5,TRUE,7
Potomac_2020_05_27_POD2968 file01.CP77,6/24/2020,11,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP78,6/24/2020,12,TRUE,3
Potomac_2020_05_27_POD2968 file01.CP79,6/24/2020,13,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP80,6/25/2020,2,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP81,6/25/2020,3,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP82,6/25/2020,4,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP83,6/25/2020,14,TRUE,16
