Filename,Date,Hour,Foraging,n
Potomac_2020_05_27_POD2968 file01.CP3,4/18/2020,21,FALSE,13
Potomac_2020_05_27_POD2968 file01.CP4,4/18/2020,21,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP5,4/18/2020,22,FALSE,7
Potomac_2020_05_27_POD2968 file01.CP6,4/20/2020,2,FALSE,4
Potomac_2020_05_27_POD2968 file01.CP7,4/20/2020,2,TRUE,3
Potomac_2020_05_27_POD2968 file01.CP8,4/20/2020,3,FALSE,12
Potomac_2020_05_27_POD2968 file01.CP9,4/20/2020,3,TRUE,1
Potomac_2020_05_27_POD2968 file01.CP10,4/20/2020,4,FALSE,8
Potomac_2020_05_27_POD2968 file01.CP11,4/20/2020,4,TRUE,13
Potomac_2020_05_27_POD2968 file01.CP12,4/20/2020,5,FALSE,16
Potomac_2020_05_27_POD2968 file01.CP13,4/20/2020,5,TRUE,14
Potomac_2020_05_27_POD2968 file01.CP14,4/20/2020,6,FALSE,5
Potomac_2020_05_27_POD2968 file01.CP15,4/20/2020,11,FALSE,2
Potomac_2020_05_27_POD2968 file01.CP16,4/21/2020,6,FALSE,1
Potomac_2020_05_27_POD2968 file01.CP17,4/23/2020,4,FALSE,5
Potomac_2020_05_27_POD2968 file01.CP18,4/23/2020,4,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP19,4/24/2020,5,FALSE,1
Potomac_2020_05_27_POD2968 file01.CP20,4/28/2020,2,FALSE,1
Potomac_2020_05_27_POD2968 file01.CP21,4/28/2020,9,FALSE,3
Potomac_2020_05_27_POD2968 file01.CP22,4/28/2020,11,FALSE,1
Potomac_2020_05_27_POD2968 file01.CP23,4/28/2020,11,TRUE,3
Potomac_2020_05_27_POD2968 file01.CP24,4/29/2020,6,FALSE,3
Potomac_2020_05_27_POD2968 file01.CP25,4/29/2020,7,FALSE,4
Potomac_2020_05_27_POD2968 file01.CP26,4/29/2020,7,TRUE,2
Potomac_2020_05_27_POD2968 file01.CP27,5/2/2020,14,FALSE,13
