"","Filename","Date","Hour","Foraging","Total_Events","Year","Month","Day"
"1","Potomac 2016 03 28 POD2591 file01.CP3",2016-05-16,10,FALSE,1,"2016","05","16"
"2","Potomac 2016 03 28 POD2591 file01.CP4",2016-05-16,10,TRUE,4,"2016","05","16"
"3","Potomac 2016 03 28 POD2591 file01.CP5",2016-05-20,9,FALSE,1,"2016","05","20"
"4","Potomac 2016 03 28 POD2591 file01.CP6",2016-05-20,9,TRUE,4,"2016","05","20"
"5","Potomac 2016 03 28 POD2591 file01.CP7",2016-05-20,10,FALSE,5,"2016","05","20"
"6","Potomac 2016 03 28 POD2591 file01.CP8",2016-05-20,13,FALSE,2,"2016","05","20"
"7","Potomac 2016 03 28 POD2591 file01.CP9",2016-05-21,2,FALSE,1,"2016","05","21"
"8","Potomac 2016 03 28 POD2591 file01.CP10",2016-05-21,3,FALSE,3,"2016","05","21"
"9","Potomac 2016 03 28 POD2591 file01.CP11",2016-05-21,22,FALSE,1,"2016","05","21"
"10","Potomac 2016 03 28 POD2591 file01.CP12",2016-05-22,0,FALSE,1,"2016","05","22"
"11","Potomac 2016 03 28 POD2591 file01.CP13",2016-05-22,1,FALSE,1,"2016","05","22"
"12","Potomac 2016 03 28 POD2591 file01.CP14",2016-05-23,3,FALSE,2,"2016","05","23"
"13","Potomac 2016 03 28 POD2591 file01.CP15",2016-05-23,23,FALSE,6,"2016","05","23"
"14","Potomac 2016 03 28 POD2591 file01.CP16",2016-05-23,23,TRUE,2,"2016","05","23"
"15","Potomac 2016 03 28 POD2591 file01.CP17",2016-05-24,0,FALSE,3,"2016","05","24"
"16","Potomac 2016 03 28 POD2591 file01.CP18",2016-05-25,6,FALSE,1,"2016","05","25"
"17","Potomac 2016 03 28 POD2591 file01.CP19",2016-05-27,7,FALSE,12,"2016","05","27"
"18","Potomac 2016 03 28 POD2591 file01.CP20",2016-05-27,7,TRUE,8,"2016","05","27"
"19","Potomac 2016 03 28 POD2591 file01.CP21",2016-05-28,3,FALSE,2,"2016","05","28"
"20","Potomac 2016 03 28 POD2591 file01.CP22",2016-05-28,3,TRUE,7,"2016","05","28"
"21","Potomac 2016 03 28 POD2591 file01.CP23",2016-05-28,4,FALSE,7,"2016","05","28"
"22","Potomac 2016 03 28 POD2591 file01.CP24",2016-05-28,4,TRUE,21,"2016","05","28"
"23","Potomac 2016 03 28 POD2591 file01.CP25",2016-05-28,5,FALSE,5,"2016","05","28"
"24","Potomac 2016 03 28 POD2591 file01.CP26",2016-05-28,5,TRUE,4,"2016","05","28"
"25","Potomac 2016 03 28 POD2591 file01.CP27",2016-05-28,6,FALSE,26,"2016","05","28"
