Filename,Date,Hour,Foraging,Total_Events
Potomac 2019 05 31 POD2807 file01.CP3,6/2/2019,8,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP4,6/2/2019,8,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP5,6/2/2019,9,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP6,6/2/2019,20,FALSE,7
Potomac 2019 05 31 POD2807 file01.CP7,6/2/2019,20,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP8,6/2/2019,21,FALSE,17
Potomac 2019 05 31 POD2807 file01.CP9,6/2/2019,21,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP10,6/3/2019,8,FALSE,2
Potomac 2019 05 31 POD2807 file01.CP11,6/3/2019,23,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP12,6/3/2019,23,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP13,6/5/2019,13,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP14,6/5/2019,14,FALSE,19
Potomac 2019 05 31 POD2807 file01.CP15,6/5/2019,14,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP16,6/5/2019,15,FALSE,1
Potomac 2019 05 31 POD2807 file01.CP17,6/5/2019,20,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP18,6/5/2019,20,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP19,6/5/2019,22,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP20,6/5/2019,22,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP21,6/6/2019,1,FALSE,8
Potomac 2019 05 31 POD2807 file01.CP22,6/6/2019,1,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP23,6/6/2019,2,FALSE,6
Potomac 2019 05 31 POD2807 file01.CP24,6/6/2019,2,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP25,6/6/2019,4,FALSE,9
Potomac 2019 05 31 POD2807 file01.CP26,6/6/2019,4,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP27,6/6/2019,11,FALSE,3
Potomac 2019 05 31 POD2807 file01.CP28,6/6/2019,16,FALSE,10
Potomac 2019 05 31 POD2807 file01.CP29,6/6/2019,16,TRUE,35
Potomac 2019 05 31 POD2807 file01.CP30,6/6/2019,17,FALSE,4
Potomac 2019 05 31 POD2807 file01.CP31,6/6/2019,17,TRUE,20
Potomac 2019 05 31 POD2807 file01.CP32,6/6/2019,23,FALSE,12
Potomac 2019 05 31 POD2807 file01.CP33,6/6/2019,23,TRUE,12
Potomac 2019 05 31 POD2807 file01.CP34,6/7/2019,0,FALSE,14
Potomac 2019 05 31 POD2807 file01.CP35,6/7/2019,0,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP36,6/7/2019,2,FALSE,22
Potomac 2019 05 31 POD2807 file01.CP37,6/7/2019,2,TRUE,25
