Filename,Date,Hour,Foraging,Total_Foraging_Events
Potomac 2019 05 31 POD2807 file01.CP3,6/2/2019,8,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP4,6/2/2019,9,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP5,6/2/2019,20,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP6,6/2/2019,21,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP7,6/3/2019,23,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP8,6/5/2019,14,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP9,6/5/2019,20,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP10,6/5/2019,22,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP11,6/6/2019,1,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP12,6/6/2019,2,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP13,6/6/2019,4,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP14,6/6/2019,16,TRUE,35
Potomac 2019 05 31 POD2807 file01.CP15,6/6/2019,17,TRUE,20
Potomac 2019 05 31 POD2807 file01.CP16,6/6/2019,23,TRUE,12
Potomac 2019 05 31 POD2807 file01.CP17,6/7/2019,0,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP18,6/7/2019,2,TRUE,25
Potomac 2019 05 31 POD2807 file01.CP19,6/7/2019,3,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP20,6/7/2019,18,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP21,6/7/2019,19,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP22,6/8/2019,0,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP23,6/8/2019,1,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP24,6/9/2019,5,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP25,6/10/2019,3,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP26,6/10/2019,4,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP27,6/10/2019,20,TRUE,17
Potomac 2019 05 31 POD2807 file01.CP28,6/10/2019,21,TRUE,10
Potomac 2019 05 31 POD2807 file01.CP29,6/11/2019,1,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP30,6/11/2019,18,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP31,6/12/2019,9,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP32,6/12/2019,10,TRUE,23
Potomac 2019 05 31 POD2807 file01.CP33,6/13/2019,1,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP34,6/13/2019,2,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP35,6/13/2019,20,TRUE,21
Potomac 2019 05 31 POD2807 file01.CP36,6/13/2019,21,TRUE,32
Potomac 2019 05 31 POD2807 file01.CP37,6/13/2019,22,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP38,6/14/2019,17,TRUE,23
Potomac 2019 05 31 POD2807 file01.CP39,6/14/2019,18,TRUE,6
Potomac 2019 05 31 POD2807 file01.CP40,6/14/2019,19,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP41,6/14/2019,20,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP42,6/15/2019,20,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP43,6/15/2019,21,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP44,6/17/2019,15,TRUE,28
Potomac 2019 05 31 POD2807 file01.CP45,6/17/2019,16,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP46,6/17/2019,17,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP47,6/17/2019,18,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP48,6/19/2019,10,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP49,6/19/2019,11,TRUE,1
